name,steam_appid,genres,release_date
Bejeweled Deluxe,3350,['Casual'],2006-08-30 00:00:00
Bejeweled Deluxe,3350,['Casual'],2006-08-30 00:00:00
Big Money! Deluxe,3360,['Casual'],2006-08-30 00:00:00
Dynomite Deluxe,3380,['Casual'],2006-08-30 00:00:00
Feeding Frenzy 2 Deluxe,3390,['Casual'],2006-08-30 00:00:00
Heavy Weapon Deluxe,3410,['Casual'],2006-08-30 00:00:00
Iggle Pop Deluxe,3420,['Casual'],2006-08-30 00:00:00
Iggle Pop Deluxe,3420,['Casual'],2006-08-30 00:00:00
Pizza Frenzy Deluxe,3430,['Casual'],2006-08-30 00:00:00
Typer Shark! Deluxe,3450,['Casual'],2006-08-30 00:00:00
Talismania Deluxe,3460,['Casual'],2006-08-30 00:00:00
Peggle Deluxe,3480,['Casual'],2007-03-06 00:00:00
Mystery P.I.™ - The Lottery Ticket,3500,['Casual'],2007-10-16 00:00:00
Amazing Adventures The Lost Tomb™,3510,['Casual'],2007-12-13 00:00:00
Mystery P.I.™ - The Vegas Heist,3520,['Casual'],2008-06-05 00:00:00
Amazing Adventures Around the World,3530,['Casual'],2009-04-15 00:00:00
Peggle™ Nights,3540,['Casual'],2008-10-15 00:00:00
Bejeweled Twist,3560,"['Strategy', 'Casual']",2008-11-18 00:00:00
Mystery P.I.™ - The New York Fortune,3570,['Casual'],2009-01-28 00:00:00
The Wizard's Pen™,3580,['Casual'],2009-02-18 00:00:00
Plants vs. Zombies GOTY Edition,3590,['Strategy'],2009-05-05 00:00:00
Escape Rosecliff Island,3600,['Casual'],2009-04-15 00:00:00
Mystery P.I. - Lost in Los Angeles,3610,['Casual'],2009-07-27 00:00:00
Zuma's Revenge!,3620,"['Action', 'Casual']",2009-09-15 00:00:00
Sniper Elite,3700,['Action'],2009-07-16 00:00:00
Judge Dredd: Dredd vs. Death,3710,['Action'],2009-03-26 00:00:00
Evil Genius,3720,['Strategy'],2009-06-22 00:00:00
Aliens versus Predator Classic 2000,3730,['Action'],2010-01-15 00:00:00
Advent Rising,3800,['Action'],2006-09-14 00:00:00
Psychonauts,3830,['Action'],2006-10-11 00:00:00
Sid Meier's Civilization® IV,3900,['Strategy'],2006-10-25 00:00:00
Sid Meier's Civilization® III Complete,3910,['Strategy'],2006-10-25 00:00:00
Sid Meier's Pirates!,3920,['RPG'],2005-07-11 00:00:00
CivCity: Rome,3980,['Strategy'],2007-04-06 00:00:00
Civilization IV®: Warlords,3990,['Strategy'],2007-04-06 00:00:00
Garry's Mod,4000,"['Indie', 'Simulation']",2006-11-29 00:00:00
Poker Superstars II,4100,"['Strategy', 'Indie', 'Casual']",2006-10-05 00:00:00
